Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,1,SALLAS KALEIWOHI Dennis,Hawai'i,2:53.58,173.58
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,2,EDGEHILL Jack,Hawai'i,3:01.23,181.23
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,3,ROBERTS John,Canada,3:02.57,182.57
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,4,VERDE Victor,Brazil,3:15.79,195.79
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,5,MACHACEK Stan,Canada,3:17.50,197.5
023,Master 70 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/023,DNS,,,,null
024,Master 70 Men,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,1,DEGROOT Dave,USA,2:51.22,171.22
024,Master 70 Men,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,2,CURTIS Terry,Canada,2:52.55,172.55
024,Master 70 Men,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,3,GOODALE David,Hawai'i,2:59.26,179.26
024,Master 70 Men,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,4,GABEL Rob,New Zealand,3:04.43,184.43
024,Master 70 Men,V1,500,Heat 3 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/024,5,DE ARAUJO JOSE CARLOS,Brazil,3:23.23,203.23
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,1,Aotearoa Nz,New Zealand,1:52.17,112.17
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,2,Brazil,Brazil,1:53.24,113.24
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,3,Hawaii - Lanikai,Hawai'i,1:56.78,116.78
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,4,France,France,1:57.39,117.39
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,5,New Caledonia,New Caledonia,2:03.89,123.89
025,Elite Men,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/025,6,Canada,Canada,2:06.53,126.53
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,1,Aotearoa Nz,New Zealand,2:08.96,128.96
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,2,Hawaii - Outrigger,Hawai'i,2:12.70,132.7
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,3,Canada,Canada,2:16.54,136.54
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,4,Great Britain,Great Britain,2:17.11,137.11
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,5,Brazil,Brazil,2:19.43,139.43
026,Elite Women,V6,500,Final,https://www.liveresults.co.nz/competition/438/schedule/race/026,6,Germany,Germany,2:33.26,153.26
027,Elite Men,V6,1500,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,1,Hawaii - Lanikai,Hawai'i,7:30.17,450.17
027,Elite Men,V6,1500,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,2,France,France,7:38.45,458.45
027,Elite Men,V6,1500,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,3,Great Britain,Great Britain,7:41.29,461.29
